model|params|mean_test_score|std_test_score|rank_test_score
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}|0.9021165318296968|0.0018154948351629|82
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 50}|0.9041676881588624|0.0017422908191532|76
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 100}|0.9065293781155512|0.001727084437215|72
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 150}|0.9081229059409986|0.0018423324686329|68
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 31}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 50}|0.8284219988559288|0.0014020053882497|101
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 100}|0.8284792024188935|0.0014260909099851|99
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 150}|0.8286262972950886|0.001387160826745|97
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 31}|0.8911906513034241|0.0009641501154696|94
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 50}|0.8953991991501186|0.0014392821413932|92
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 100}|0.8985617389883143|0.0012600693155117|89
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 150}|0.8995505434338481|0.0013279335684188|86
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 31}|0.9020838440794312|0.0018501093392884|83
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 50}|0.9041350004085968|0.0016383461090074|78
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 100}|0.9066519571790472|0.0018376142082727|70
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 150}|0.9081637656288306|0.0019740938601811|67
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 31}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 50}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 100}|0.8284056549807961|0.0014291781967046|102
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 150}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31}|0.8911906513034239|0.0011273127893803|96
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 50}|0.895162212960693|0.001405098068445|93
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 100}|0.897793576857073|0.0011014244041963|90
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 150}|0.8990602271798643|0.0015034144322961|87
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}|0.9020102966413336|0.001998936777837|84
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 50}|0.904159516221296|0.0015467645170299|77
